iter	Quantile:alpha=0.9
0	0.047024002
1	0.04094110006
2	0.03556004754
3	0.03144065059
4	0.02763719535
5	0.02434993322
6	0.02161580012
7	0.01938460995
8	0.01751625161
9	0.01571391848
10	0.01425352889
11	0.01295791733
12	0.01186611598
13	0.01100241044
14	0.01017287987
15	0.009472678072
16	0.00889293492
17	0.008367086282
18	0.007905810615
19	0.007512043494
20	0.007167173886
21	0.006859682242
22	0.00657372074
23	0.006339116565
24	0.006127125409
25	0.005960095737
26	0.005745375879
27	0.005588058126
28	0.00545745018
29	0.005353218124
30	0.005246357744
31	0.00515675879
32	0.005080734554
33	0.004995725538
34	0.004923318838
35	0.004862940663
36	0.004794051105
37	0.004747321513
38	0.004683938125
39	0.004632660883
40	0.004578931326
41	0.004537739753
42	0.004502890071
43	0.004477939858
44	0.004449916641
45	0.004417317058
46	0.00438722601
47	0.004363968268
48	0.004351364894
49	0.004323939179
50	0.004306231612
51	0.004285949753
52	0.004264456398
53	0.004242469032
54	0.004229359424
55	0.004216085103
56	0.004196692771
57	0.00416277098
58	0.004147704803
59	0.004132036852
60	0.004114210251
61	0.004085152612
62	0.004071172784
63	0.004035770524
64	0.004024406029
65	0.004007862441
66	0.003990622857
67	0.00397899085
68	0.003973000736
69	0.003952866711
70	0.003938972859
71	0.003919781021
72	0.003893043033
73	0.003881651603
74	0.003874230142
75	0.003861549513
76	0.00383706086
77	0.003818222199
78	0.003809211078
79	0.003800244108
80	0.003787491073
81	0.003771104846
82	0.003767221675
83	0.003759427495
84	0.003754491929
85	0.003748866189
86	0.003739110539
87	0.003723177602
88	0.003717028503
89	0.00370709403
90	0.003692406051
91	0.003687014524
92	0.00367682934
93	0.003661810539
94	0.003652522907
95	0.003646616198
96	0.003635757275
97	0.003622185954
98	0.003614365698
99	0.003606556129
100	0.003598383161
101	0.003592900092
102	0.003591107244
103	0.003585842734
104	0.003581253996
105	0.003564040378
106	0.003561094822
107	0.003558708556
108	0.00355373902
109	0.003546292698
110	0.003542453471
111	0.003540304504
112	0.003537419714
113	0.003519641084
114	0.003517856885
115	0.003514951405
116	0.003510724027
117	0.003506344842
118	0.003503086412
119	0.003500696767
120	0.003499962052
121	0.003496610701
122	0.003486803405
123	0.003486018232
124	0.003485458224
125	0.003471948417
126	0.003469650731
127	0.003466278396
128	0.003464998722
129	0.003461910137
130	0.003459384806
131	0.003456728246
132	0.0034536719
133	0.00345129954
134	0.003449122089
135	0.003448198123
136	0.003446495699
137	0.003442055573
138	0.003439848664
139	0.003439171563
140	0.003430418455
141	0.003428536604
142	0.003423224971
143	0.003421399931
144	0.003418807063
145	0.003416691941
146	0.003415118135
147	0.00341375912
148	0.00341234503
149	0.003410041433
150	0.003407702361
151	0.003405400684
152	0.00340460002
153	0.003402718049
154	0.003400783322
155	0.003393186293
156	0.003392526371
157	0.003390996993
158	0.003388926087
159	0.003385957685
160	0.003383116856
161	0.003381754607
162	0.00337839702
163	0.003377511868
164	0.003376700608
165	0.0033755371
166	0.003372844383
167	0.003370253445
168	0.003368605711
169	0.003367658745
170	0.003366893398
171	0.003364759346
172	0.003363281724
173	0.003362675078
174	0.003361790273
175	0.003360850956
176	0.003358190353
177	0.0033571323
178	0.003356335548
179	0.003347008021
180	0.003345920256
181	0.00334301634
182	0.003341697779
183	0.003339257428
184	0.003315905185
185	0.003314884997
186	0.003302866193
187	0.003302129194
188	0.003301160525
189	0.003300847816
190	0.00329970639
191	0.003298350488
192	0.003297293113
193	0.003293145013
194	0.003292586745
195	0.003291755107
196	0.003291325247
197	0.003283631556
198	0.00328316077
199	0.003282333465
200	0.003272829705
201	0.003271329004
202	0.003270841768
203	0.003270122503
204	0.003269573947
205	0.003269369311
206	0.003269063449
207	0.003258771009
208	0.003258485388
209	0.003257244381
210	0.003256647225
211	0.003255962663
